GEO_NAME,1
St Anthony Park,448.0
West Side Community Organization,996.0
CapitolRiver Council,55.0
Como,968.0
Hamline-Midway,378.0
North End,817.0
West 7th Federation/Fort Road,612.0
The Greater East Side,1240.0
Thomas-Dale/Frogtown,290.0
Eastview-Conway-Battle Creek-Highwood Hills,2747.0
Union Park,799.0
Dayton's Bluff,755.0
Highland,1971.0
Macalester-Groveland,847.0
Summit Hill Association,328.0
Summit-University,398.0
Payne-Phalen,1072.0
Phillips,172.0
Camden,1033.0
University,725.0
Central,129.0
Calhoun Isle,1328.0
Longfellow,1230.0
Nokomis,1884.0
Northeast,1398.0
Southwest,2313.0
Near North,886.0
Powderhorn,681.0
