system:index,GEOID10,Year,ndvi,.geo
00000000000000000000,270530209033,2021,0.5859481555824366,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,270530222002,2021,0.5388318131302136,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,270530228011,2021,0.6271519050792205,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,270530240062,2021,0.5467338505928128,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,270530239013,2021,0.6540717754536327,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,270531255003,2021,0.4645276362909099,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,270531028003,2021,0.5320336943419115,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,270531030001,2021,0.38920048099864923,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,270531031001,2021,0.45817211710835504,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,270531036001,2021,0.5164045579734104,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,270531036002,2021,0.38664727686113465,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,270531037001,2021,0.33686850689367326,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,270531037003,2021,0.37917841336981517,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,270531040005,2021,0.3098841159786269,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,270531028002,2021,0.5287238719097888,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,270530022002,2021,0.46591706347492073,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,270530022001,2021,0.5421615932020656,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,270531030002,2021,0.5669593065097395,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,270531039001,2021,0.3857476837601159,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,270531040001,2021,0.3487462731757705,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,270530024001,2021,0.42804723574940734,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,270531039002,2021,0.2677201612351861,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,270530233001,2021,0.5165407059293112,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,270530233002,2021,0.3293819786901116,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,270530233004,2021,0.5281554078202637,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,270530233003,2021,0.5309523829866305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,270530235025,2021,0.5722837366154018,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,270530234001,2021,0.5803080044164601,"{""type"":""MultiPoint"",""coordinates"":[]}"
