system:index,ALAND,AWATER,BLKGRPCE,COUNTYFP,FUNCSTAT,GEOID,GEO_NAME,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,STATEFP,TRACTCE,Year,ndvi,.geo
00000000000000000c98,0.0,4.185238009E9,0,031,S,270319900000,270319900000,+47.5385690,-090.2901889,G5030,Block Group 0,27,990000,2021,0.4007452920741818,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d1c,0.0,1.746138734E9,0,075,S,270759901000,270759901000,+47.1320238,-091.2855597,G5030,Block Group 0,27,990100,2021,No data,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,2.05097763E8,1910068.0,1,165,S,271659501001,271659501001,+44.0624733,-094.7280867,G5030,Block Group 1,27,950100,2021,0.6599722036892712,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,2.277906E7,364060.0,1,121,S,271219702001,271219702001,+45.6253274,-095.5413594,G5030,Block Group 1,27,970200,2021,0.6541651421894206,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,1.59933476E8,9786482.0,1,121,S,271219701001,271219701001,+45.6684481,-095.3192800,G5030,Block Group 1,27,970100,2021,0.6087256073834217,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,1.812242E7,2.3185107E7,1,121,S,271219704001,271219704001,+45.6286350,-095.4454853,G5030,Block Group 1,27,970400,2021,0.4066909997840416,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,2.15908744E8,8421828.0,1,121,S,271219703001,271219703001,+45.6758460,-095.6880420,G5030,Block Group 1,27,970300,2021,0.6141697170788779,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,1.7731057E8,1.1604826E7,1,161,S,271617901001,271617901001,+44.1528087,-093.6452795,G5030,Block Group 1,27,790100,2021,0.6341489424671458,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,1.3329976E8,3628239.0,1,161,S,271617903001,271617903001,+44.0734563,-093.6853913,G5030,Block Group 1,27,790300,2021,0.6709072200824937,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,2.48335656E8,782033.0,1,161,S,271617902001,271617902001,+43.8779966,-093.5750549,G5030,Block Group 1,27,790200,2021,0.7000127579227712,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099,5.52910726E8,1644329.0,1,023,S,270239505001,270239505001,+45.0864291,-095.5228728,G5030,Block Group 1,27,950500,2021,0.6535354180476703,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a,2.61074522E8,1848501.0,1,023,S,270239503001,270239503001,+44.8974318,-095.5669269,G5030,Block Group 1,27,950300,2021,0.6699234930200335,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,2.38856985E8,2328711.0,1,115,S,271159502001,271159502001,+46.3248790,-092.9749692,G5030,Block Group 1,27,950200,2021,0.7801833805204318,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,5.40279712E8,6368894.0,1,115,S,271159504001,271159504001,+46.0808388,-092.4810021,G5030,Block Group 1,27,950400,2021,0.7985034771829377,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9,1.09241528E8,7182758.0,1,115,S,271159508001,271159508001,+45.8489390,-093.0558113,G5030,Block Group 1,27,950800,2021,0.7141058463562763,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,2.33977295E8,2342290.0,1,115,S,271159505001,271159505001,+46.0524729,-092.9514507,G5030,Block Group 1,27,950500,2021,0.7619135498382231,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f3,7.38115597E8,3.9923861E7,1,011,S,270119501001,270119501001,+45.3769553,-096.2855643,G5030,Block Group 1,27,950100,2021,0.5635422670175345,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f4,2.0284143E7,54552.0,1,011,S,270119503001,270119503001,+45.2842780,-096.4074706,G5030,Block Group 1,27,950300,2021,0.6122705065112807,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f5,4.42327737E8,2.7276149E7,1,011,S,270119502001,270119502001,+45.4789859,-096.6063679,G5030,Block Group 1,27,950200,2021,0.5222771498978676,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,9.7826279E7,397449.0,1,165,S,271659503001,271659503001,+43.9847052,-094.7896697,G5030,Block Group 1,27,950300,2021,0.6351422289254283,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000136,1.45559148E8,958755.0,1,157,S,271574905001,271574905001,+44.2230993,-092.2576945,G5030,Block Group 1,27,490500,2021,0.7657917254981662,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137,2.5031617E7,3948317.0,1,157,S,271574901001,271574901001,+44.3478516,-092.0265485,G5030,Block Group 1,27,490100,2021,0.7151530434895699,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b,1.81778589E8,313385.0,1,157,S,271574904001,271574904001,+44.3751047,-092.3681427,G5030,Block Group 1,27,490400,2021,0.7467368775285314,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c,666318.0,1784628.0,1,157,S,271574903001,271574903001,+44.4520110,-092.2621748,G5030,Block Group 1,27,490300,2021,0.2515325334474189,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013d,1.24940857E8,9316830.0,1,157,S,271574902001,271574902001,+44.3262865,-092.1275070,G5030,Block Group 1,27,490200,2021,0.7322204094964819,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000143,8.37468891E8,1.5471831E7,1,029,S,270290003001,270290003001,+47.8904691,-095.4309022,G5030,Block Group 1,27,000300,2021,0.6808226380605682,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000171,6.55441161E8,265704.0,1,089,S,270890801001,270890801001,+48.3472217,-095.7115154,G5030,Block Group 1,27,080100,2021,0.6844205657734626,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000173,2.37135297E8,43524.0,1,089,S,270890804001,270890804001,+48.2691340,-096.6867489,G5030,Block Group 1,27,080400,2021,0.6633826323402238,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000177,9.7360726E8,3778298.0,1,089,S,270890803001,270890803001,+48.4057622,-096.9438470,G5030,Block Group 1,27,080300,2021,0.6465719640954314,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000179,2.5503454E8,3663.0,1,089,S,270890802001,270890802001,+48.3492426,-096.3578477,G5030,Block Group 1,27,080200,2021,0.6944877642602449,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017c,7.08746119E8,4.0074485E7,1,001,S,270017701001,270017701001,+46.8763449,-093.2082035,G5030,Block Group 1,27,770100,2021,0.7145035388127136,"{""type"":""MultiPoint"",""coordinates"":[]}"
