system:index,GEOID,Year,ndvi_land,.geo
00000000000000000000,271230413022,2021,0.3119352406274013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,271230342014,2021,0.16646467796009917,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,271230342012,2021,0.25952495553412913,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,270530268127,2021,0.5328962432877923,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,270530268125,2021,0.3285882093445181,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,270530260073,2021,0.5099552950493974,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,270530260074,2021,0.4646841409597305,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,270530260076,2021,0.40428901299605463,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,270530260075,2021,0.42290817728024593,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,270530268126,2021,0.3520523136625599,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,270030507105,2021,0.5102314104948135,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,270030508294,2021,0.5109959307127727,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,270030508272,2021,0.5694708971361051,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,270030502374,2021,0.6561876533404591,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,270030506111,2021,0.5407101169894504,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,270030506112,2021,0.5498956979133041,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,270030502084,2021,0.59192929828301,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,270030507074,2021,0.6528122082604423,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,270030507072,2021,0.5851145475843622,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,270530224004,2021,0.4872414730245195,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,270531008001,2021,0.5503930046624911,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,270531008002,2021,0.5070330687445561,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,270531108002,2021,0.5022446823679626,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,270530239021,2021,0.6457728663930891,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,270531062003,2021,0.40650844346284737,"{""type"":""MultiPoint"",""coordinates"":[]}"
