GEO_NAME,1
St Anthony Park,468.0
West Side Community Organization,1084.0
CapitolRiver Council,58.0
Como,910.0
Hamline-Midway,439.0
North End,925.0
West 7th Federation/Fort Road,674.0
The Greater East Side,1339.0
Thomas-Dale/Frogtown,341.0
Eastview-Conway-Battle Creek-Highwood Hills,2925.0
Union Park,838.0
Dayton's Bluff,820.0
Highland,1986.0
Macalester-Groveland,919.0
Summit Hill Association,351.0
Summit-University,435.0
Payne-Phalen,1110.0
Phillips,225.0
Camden,1313.0
University,819.0
Central,160.0
Calhoun Isle,1370.0
Longfellow,1361.0
Nokomis,1971.0
Northeast,1666.0
Southwest,2456.0
Near North,1062.0
Powderhorn,855.0
