system:index,GEOID,Year,sq_miles,.geo
00000000000000000000,271230413022,2021,"{groups=[{classification=0, sum=0.3589571700000048}, {classification=1, sum=0.022586849999999988}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,271230342014,2021,"{groups=[{classification=0, sum=0.019459439999999998}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,271230342012,2021,"{groups=[{classification=0, sum=0.034054019999999956}, {classification=1, sum=0.00277992}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,270530268127,2021,"{groups=[{classification=0, sum=1.4017746600000223}, {classification=1, sum=0.7450185600000113}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,270530268125,2021,"{groups=[{classification=0, sum=0.487528470000007}, {classification=1, sum=0.06567560999999993}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,270530260073,2021,"{groups=[{classification=0, sum=0.45555939000000645}, {classification=1, sum=0.25992252000000315}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,270530260074,2021,"{groups=[{classification=0, sum=0.24706539000000297}, {classification=1, sum=0.08999991000000034}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,270530260076,2021,"{groups=[{classification=0, sum=0.3947486400000054}, {classification=1, sum=0.09069489000000035}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,270530260075,2021,"{groups=[{classification=0, sum=0.2307333600000027}, {classification=1, sum=0.05768333999999988}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,270530268126,2021,"{groups=[{classification=0, sum=0.30683367000000394}, {classification=1, sum=0.03996134999999994}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,270030507105,2021,"{groups=[{classification=0, sum=0.14907321000000132}, {classification=1, sum=0.0875674800000003}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,270030508294,2021,"{groups=[{classification=0, sum=0.66822327000001}, {classification=1, sum=0.34957494000000466}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,270030508272,2021,"{groups=[{classification=0, sum=0.17409249000000174}, {classification=1, sum=0.11849409000000082}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,270030502374,2021,"{groups=[{classification=0, sum=0.36555948000000493}, {classification=1, sum=0.3228182100000042}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,270030506111,2021,"{groups=[{classification=0, sum=0.18799209000000197}, {classification=1, sum=0.11050182000000068}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,270030506112,2021,"{groups=[{classification=0, sum=0.3509649000000047}, {classification=1, sum=0.19911177000000216}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,270030502084,2021,"{groups=[{classification=0, sum=0.15880293000000148}, {classification=1, sum=0.12787632000000096}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,270030507074,2021,"{groups=[{classification=0, sum=0.14525082000000125}, {classification=1, sum=0.19876428000000215}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,270030507072,2021,"{groups=[{classification=0, sum=0.2971039500000038}, {classification=1, sum=0.1949418900000021}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,270530224004,2021,"{groups=[{classification=0, sum=0.15289560000000138}, {classification=1, sum=0.060115769999999874}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,270531008001,2021,"{groups=[{classification=0, sum=0.0642856499999999}, {classification=1, sum=0.040656329999999935}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,270531008002,2021,"{groups=[{classification=0, sum=0.07366788000000006}, {classification=1, sum=0.04239377999999993}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,270531108002,2021,"{groups=[{classification=0, sum=0.10667943000000062}, {classification=1, sum=0.06115823999999987}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,270530239021,2021,"{groups=[{classification=0, sum=0.5076828900000073}, {classification=1, sum=0.5928179400000088}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,270531062003,2021,"{groups=[{classification=0, sum=0.06915050999999998}, {classification=1, sum=0.017027010000000006}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,270530248011,2021,"{groups=[{classification=0, sum=0.15845544000000147}, {classification=1, sum=0.08513505000000025}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,270030502294,2021,"{groups=[{classification=0, sum=0.20432412000000225}, {classification=1, sum=0.25888005000000314}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,270030511024,2021,"{groups=[{classification=0, sum=0.250887780000003}, {classification=1, sum=0.14038596000000117}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,270030502285,2021,"{groups=[{classification=0, sum=0.6001152300000089}, {classification=1, sum=0.4993431300000072}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,270030508292,2021,"{groups=[{classification=0, sum=0.31795335000000413}, {classification=1, sum=0.2849418000000036}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,270030508282,2021,"{groups=[{classification=0, sum=0.25957503000000315}, {classification=1, sum=0.1355211000000011}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,270030508271,2021,"{groups=[{classification=0, sum=0.17965233000000183}, {classification=1, sum=0.15706548000000145}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,270030502381,2021,"{groups=[{classification=0, sum=0.16992261000000167}, {classification=1, sum=0.21787623000000247}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,270030508233,2021,"{groups=[{classification=0, sum=0.3339378900000044}, {classification=1, sum=0.26027001000000316}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,270030511021,2021,"{groups=[{classification=0, sum=0.39162123000000537}, {classification=1, sum=0.2682622800000033}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,270030501083,2021,"{groups=[{classification=0, sum=0.4767562800000068}, {classification=1, sum=0.5028180300000072}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,270030507071,2021,"{groups=[{classification=0, sum=0.1605403800000015}, {classification=1, sum=0.23386077000000274}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,270030508243,2021,"{groups=[{classification=0, sum=0.40760577000000564}, {classification=1, sum=0.2018916900000022}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,270030515022,2021,"{groups=[{classification=0, sum=0.13482612000000108}, {classification=1, sum=0.15081066000000135}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,270030506121,2021,"{groups=[{classification=0, sum=0.16957512000000166}, {classification=1, sum=0.1250964000000009}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,270030508221,2021,"{groups=[{classification=0, sum=0.18173727000000187}, {classification=1, sum=0.11432421000000074}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,270030508241,2021,"{groups=[{classification=0, sum=0.1782623700000018}, {classification=1, sum=0.1727025300000017}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,270030508291,2021,"{groups=[{classification=0, sum=0.14351337000000122}, {classification=1, sum=0.20501910000000226}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,270030508232,2021,"{groups=[{classification=0, sum=0.25366770000000305}, {classification=1, sum=0.1952893800000021}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,270030512064,2021,"{groups=[{classification=0, sum=0.18590715000000194}, {classification=1, sum=0.0879149700000003}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,270030512063,2021,"{groups=[{classification=0, sum=0.15532803000000142}, {classification=1, sum=0.050386049999999905}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,270030508231,2021,"{groups=[{classification=0, sum=0.14594580000000126}, {classification=1, sum=0.23559822000000277}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,270030508252,2021,"{groups=[{classification=0, sum=0.07992270000000017}, {classification=1, sum=0.10633194000000061}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
