system:index,CTU_NAME,Year,sq_miles,.geo
00000000000000000000,Anoka,2021,"{groups=[{classification=0, sum=3.9659033699988093}, {classification=1, sum=2.4081056999997785}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,Shoreview,2021,"{groups=[{classification=0, sum=5.11609526999952}, {classification=1, sum=5.1960179699995725}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,Farmington,2021,"{groups=[{classification=0, sum=4.279339349998971}, {classification=1, sum=3.1232401199993336}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,Sciota Twp.,2021,"{groups=[{classification=0, sum=0.9152886600000142}, {classification=1, sum=0.6529337100000098}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,Golden Valley,2021,"{groups=[{classification=0, sum=5.4215389799997205}, {classification=1, sum=4.657408469999219}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,Mendota Heights,2021,"{groups=[{classification=0, sum=4.36899176999903}, {classification=1, sum=4.654281059999217}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,Rockford,2021,"{groups=[{classification=0, sum=0.17027010000000167}, {classification=1, sum=0.07992270000000017}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,Young America Twp.,2021,"{groups=[{classification=0, sum=3.711193199998968}, {classification=1, sum=1.85941899000003}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,Plymouth,2021,"{groups=[{classification=0, sum=16.438361939985377}, {classification=1, sum=13.74774686999049}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,White Bear Lake,2021,"{groups=[{classification=0, sum=4.14069083999888}, {classification=1, sum=3.487757129999107}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,Crystal,2021,"{groups=[{classification=0, sum=3.478027409999113}, {classification=1, sum=2.1669476399999286}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,Spring Lake Park,2021,"{groups=[{classification=0, sum=1.382662710000022}, {classification=1, sum=0.6140148300000091}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,Lakeland Shores,2021,"{groups=[{classification=0, sum=0.12822381000000097}, {classification=1, sum=0.15845544000000147}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,Robbinsdale,2021,"{groups=[{classification=0, sum=1.7690715900000284}, {classification=1, sum=0.9514276200000148}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
