system:index,ALAND,AWATER,BLKGRPCE,COUNTYFP,FUNCSTAT,GEOID,GEO_NAME,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,STATEFP,TRACTCE,Year,sq_miles,.geo
00000000000000000c98,0.0,4.185238009E9,0,031,S,270319900000,270319900000,+47.5385690,-090.2901889,G5030,Block Group 0,27,990000,2021,"{groups=[{classification=0, sum=0.13378364999999984}, {classification=1, sum=0.041698800000000015}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d1c,0.0,1.746138734E9,0,075,S,270759901000,270759901000,+47.1320238,-091.2855597,G5030,Block Group 0,27,990100,2021,{groups=[]},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,2.05097763E8,1910068.0,1,165,S,271659501001,271659501001,+44.0624733,-094.7280867,G5030,Block Group 1,27,950100,2021,"{groups=[{classification=0, sum=6.243352830000259}, {classification=1, sum=2.741348609999571}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,2.277906E7,364060.0,1,121,S,271219702001,271219702001,+45.6253274,-095.5413594,G5030,Block Group 1,27,970200,2021,"{groups=[{classification=0, sum=0.9455202900000147}, {classification=1, sum=0.9868716000000154}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,1.59933476E8,9786482.0,1,121,S,271219701001,271219701001,+45.6684481,-095.3192800,G5030,Block Group 1,27,970100,2021,"{groups=[{classification=0, sum=7.89115041000134}, {classification=1, sum=3.3310391399992043}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,1.812242E7,2.3185107E7,1,121,S,271219704001,271219704001,+45.6286350,-095.4454853,G5030,Block Group 1,27,970400,2021,"{groups=[{classification=0, sum=1.687411440000027}, {classification=1, sum=1.976523120000032}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,2.15908744E8,8421828.0,1,121,S,271219703001,271219703001,+45.6758460,-095.6880420,G5030,Block Group 1,27,970300,2021,"{groups=[{classification=0, sum=9.989295029997631}, {classification=1, sum=3.093703469999352}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,1.7731057E8,1.1604826E7,1,161,S,271617901001,271617901001,+44.1528087,-093.6452795,G5030,Block Group 1,27,790100,2021,"{groups=[{classification=0, sum=6.539414310000454}, {classification=1, sum=4.286984129998976}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,1.3329976E8,3628239.0,1,161,S,271617903001,271617903001,+44.0734563,-093.6853913,G5030,Block Group 1,27,790300,2021,"{groups=[{classification=0, sum=4.476366179999101}, {classification=1, sum=2.457101789999748}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,2.48335656E8,782033.0,1,161,S,271617902001,271617902001,+43.8779966,-093.5750549,G5030,Block Group 1,27,790200,2021,"{groups=[{classification=0, sum=5.339183849999666}, {classification=1, sum=2.1996116999999082}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
