system:index,GEO_NAME,Year,city,lat,long,max,min,ntracts,sq_miles,zoom,.geo
00000000000000000014,St Anthony Park,2021,St. Paul,-93.19420866635075,44.973133998519806,26.3,6.1,3,"{groups=[{classification=0, sum=1.8410020200000297}, {classification=1, sum=0.5775283800000085}]}",13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,West Side Community Organization,2021,St. Paul,-93.07966550419405,44.93111854953729,36.2,11.2,4,"{groups=[{classification=0, sum=2.704862159999594}, {classification=1, sum=1.3569484500000215}]}",13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,CapitolRiver Council,2021,St. Paul,-93.09621324142856,44.949524145951,28.4,1.7,5,"{groups=[{classification=0, sum=0.905211450000014}, {classification=1, sum=0.0761003100000001}]}",13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,Como,2021,St. Paul,-93.14561563032518,44.97927848986142,28.2,15.4,5,"{groups=[{classification=0, sum=1.9101525300000308}, {classification=1, sum=1.1696513400000184}]}",13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,Hamline-Midway,2021,St. Paul,-93.16755074601355,44.96320107574825,27.4,6.1,5,"{groups=[{classification=0, sum=1.3541685300000215}, {classification=1, sum=0.5393044800000079}]}",13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,North End,2021,St. Paul,-93.10737830907004,44.97801215088025,24.6,13.3,5,"{groups=[{classification=0, sum=2.291696549999851}, {classification=1, sum=1.151234370000018}]}",13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,West 7th Federation/Fort Road,2021,St. Paul,-93.12587842475476,44.92634264951224,28.4,9.1,5,"{groups=[{classification=0, sum=1.629380610000026}, {classification=1, sum=0.8510030100000131}]}",13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,The Greater East Side,2021,St. Paul,-93.02511372929617,44.9775074527707,32.7,23.7,6,"{groups=[{classification=0, sum=2.3024687399998442}, {classification=1, sum=1.5185313000000242}]}",13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,Thomas-Dale/Frogtown,2021,St. Paul,-93.12154597426276,44.96050045918467,17.9,7.5,6,"{groups=[{classification=0, sum=1.2944002500000205}, {classification=1, sum=0.4173354900000058}]}",13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,Eastview-Conway-Battle Creek-Highwood Hills,2021,St. Paul,-93.02507322574587,44.92825249991998,39.5,11.2,7,"{groups=[{classification=0, sum=3.800845619998912}, {classification=1, sum=3.301154999999223}]}",13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,Union Park,2021,St. Paul,-93.17680821844581,44.94942472885895,32.3,8.6,8,"{groups=[{classification=0, sum=1.8180676800000293}, {classification=1, sum=1.0636668900000166}]}",13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,Dayton's Bluff,2021,St. Paul,-93.05934354144665,44.95585555033664,30.4,11.8,9,"{groups=[{classification=0, sum=1.681504110000027}, {classification=1, sum=1.0184931900000158}]}",13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,Highland,2021,St. Paul,-93.17142403046289,44.9102380572836,37.0,23.3,9,"{groups=[{classification=0, sum=2.825093699999519}, {classification=1, sum=2.3115034799998386}]}",13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,Macalester-Groveland,2021,St. Paul,-93.1745103143722,44.93399304138428,32.3,23.3,9,"{groups=[{classification=0, sum=1.3381839900000212}, {classification=1, sum=1.1022382800000172}]}",13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,Summit Hill Association,2021,St. Paul,-93.13648303366492,44.93695699472339,31.1,9.1,9,"{groups=[{classification=0, sum=0.5083778700000073}, {classification=1, sum=0.44860959000000633}]}",13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
