"type","name","variable","interpret_high_value","climate_change","environmental_justice","public_health","conservation","n","MEANRAW","MEANSCALED","niceinterp","nicer_interp"
"economics","% of residents who own their home","pownhome","high_opportunity",0,0,0,0,2586,0.691308020039306,5.29691057797964,"Higher",""
"economics","% of unemployed residents","pwk_nowork","high_opportunity",0,0,0,0,2586,0.283818003923358,4.8477021293777,"Higher",""
"economics","% people with income <185% of the poverty threshold","ppov185","high_opportunity",0,1,0,0,2586,0.18168352661965,4.63750259957727,"Higher",""
"economics","Median household income","hhincome","low_opportunity",0,0,0,0,2586,87845.2168808842,5.22829935329285,"Lower","Lower values = higher priority"
"environment","% developed acres in primary flood zone","prim_flood","high_opportunity",1,0,0,0,2586,0.0619213395638629,4.69835345795435,"Higher",""
"environment","% of block group's land acreage redlined","holc_pred","high_opportunity",0,0,0,0,2586,0.0320038940809969,4.47087710226495,"Higher",""
"environment","Greenness, all land (2021 NDVI)","ndvi_land","low_opportunity",1,0,1,0,2586,0.555199568665158,4.79251739099679,"Lower","Lower values = higher priority"
"environment","Greenness, all land (2021 NDVI) - for conservation","inverse_ndvi_land","high_opportunity",0,0,0,0,2586,0.555199568665158,5.20748260900321,"Higher","Higher values = higher priority"
"environment","Greenness, uncultivated land (2021 NDVI)","ndvi_uncultivated","low_opportunity",1,0,1,0,2586,0.55124423342609,4.77583078367058,"Lower","Lower values = higher priority"
"environment","Greenness, uncultivated land (2021 NDVI) - for conservation","inverse_ndvi_uncultivated","high_opportunity",0,0,0,1,2586,0.55124423342609,5.22416921632942,"Higher","Higher values = higher priority"
"environment","Temperature on hot summer day","avg_temp","high_opportunity",1,0,1,0,2586,93.529167858947,4.86633242214266,"Higher",""
"environment","Tree canopy in 2021 (%)","canopy_percent","low_opportunity",1,0,1,0,2586,0.361879065478218,4.92137106031427,"Lower","Lower values = higher priority"
"environment","Tree canopy in 2021 (%) - for conservation","inverse_canopy","high_opportunity",0,0,0,1,2586,0.361879065478218,5.07862893968573,"Higher",""
"health","Asthma among adults (%)","CASTHMA","high_opportunity",0,0,0,0,2586,0.0945110497237569,4.65282551077737,"Higher",""
"health","Chronic obstructive pulmonary disease among adults (%)","COPD","high_opportunity",0,0,0,0,2586,0.0429277821625888,4.81619106046302,"Higher",""
"health","Lifetime cancer risk from air toxics","env_cancer","high_opportunity",0,0,1,0,2586,26.0378847671665,5.01307966244951,"Higher",""
"health","Mental health not good for >=14 days among adults (%)","MHLTH","high_opportunity",0,0,0,0,2586,0.139799131807419,4.67774189024304,"Higher",""
"health","Physical health not good for >=14 days among adults (%)","PHLTH","high_opportunity",0,0,0,0,2586,0.0822695343330702,4.77108516471828,"Higher",""
"people","Age, % age 65 or older","over65","high_opportunity",0,0,0,0,2586,0.141090864105579,4.74340705343714,"Higher",""
"people","Age, % under age 18","under18","high_opportunity",0,0,0,0,2586,0.234711335630677,5.00157950056587,"Higher",""
"people","Age, % under age 18 or 65+","sens_age","high_opportunity",0,0,1,0,2586,0.375802199736256,5.1083473380634,"Higher",""
"people","Disability, % any disability","pd_any","high_opportunity",0,0,0,0,2586,0.0995590177310952,4.81243881080862,"Higher",""
"people","Housing unit density (units / acre)","housing_density","high_opportunity",0,0,0,0,2586,3.58913868840415,4.6312365756064,"Higher",""
"people","Population density (persons / acre)","pop_density","high_opportunity",0,0,0,0,2586,7.83230452350357,4.65735523900776,"Higher",""
"people","Race, % Asian or Pacific Islander","pasiannh","high_opportunity",0,0,0,0,2586,0.0819856065434459,4.50821229999324,"Higher",""
"people","Race, % Black or African American","pblacknh","high_opportunity",0,0,0,0,2586,0.102551797221969,4.5444288729674,"Higher",""
"people","Race, % Hispanic or Latino","phisppop","high_opportunity",0,0,0,0,2586,0.0716084580209819,4.54960415658652,"Higher",""
"people","Race, % Indigenous","pamindnh","high_opportunity",0,0,0,0,2586,0.00535233745080781,4.67963824809689,"Higher",""
"people","Race, % Multiracial or other","pothmultnh","high_opportunity",0,0,0,0,2586,0.050409977035216,4.72917031595808,"Higher",""
"people","Race, % people of color","pbipoc","high_opportunity",0,1,0,0,2586,0.311908176272421,4.64543740485375,"Higher",""
