"GEO_NAME","city","bg_id"
"Central","Minneapolis","270531052042"
"Central","Minneapolis","270531056004"
"University","Minneapolis","270531256002"
"Nokomis","Minneapolis","270531109002"
"Southwest","Minneapolis","270531115001"
"Central","Minneapolis","270531044002"
"Phillips","Minneapolis","270531260003"
"Nokomis","Minneapolis","270530117043"
"Longfellow","Minneapolis","270531105002"
"Longfellow","Minneapolis","270531064001"
"Central","Minneapolis","270531057003"
"Central","Minneapolis","270531057001"
"Central","Minneapolis","270531052011"
"Northeast","Minneapolis","270531025002"
"Phillips","Minneapolis","270531259003"
"West Side","St. Paul","271230361002"
"Downtown","St. Paul","271230342016"
"Downtown","St. Paul","271230342015"
"Frogtown","St. Paul","271230327003"
"Frogtown","St. Paul","271230428003"
"Near North","Minneapolis","270531262011"
"Central","Minneapolis","270531262011"
"Camden","Minneapolis","270530001014"
"Near North","Minneapolis","270531016004"
"Near North","Minneapolis","270531263001"
"Near North","Minneapolis","270530032001"
"Near North","Minneapolis","270531016003"
"University","Minneapolis","270531048022"
"Northeast","Minneapolis","270530006032"
"Near North","Minneapolis","270531263004"
"Near North","Minneapolis","270531041003"
"Near North","Minneapolis","270531263002"
"Northeast","Minneapolis","270531030002"
"Central","Minneapolis","270531262013"
"Northeast","Minneapolis","270531026004"
"Northeast","Minneapolis","270531031002"
"Central","Minneapolis","270531262021"
"Central","Minneapolis","270531261024"
"Northeast","Minneapolis","270531030003"
"Phillips","Minneapolis","270531258004"
"Central","Minneapolis","270531052013"
"Central","Minneapolis","270531261012"
"Central","Minneapolis","270531261021"
"Central","Minneapolis","270531052043"
"Northeast","Minneapolis","270530006015"
"Powderhorn","Minneapolis","270530068004"
"Powderhorn","Minneapolis","270531069003"
"University","Minneapolis","270530038021"
"University","Minneapolis","270530038022"
"University","Minneapolis","270531040013"
"University","Minneapolis","270531040011"
"University","Minneapolis","270531049022"
"University","Minneapolis","270531049024"
"University","Minneapolis","270531049025"
"Northeast","Minneapolis","270531026003"
"Central","Minneapolis","270531054003"
"Phillips","Minneapolis","270530059023"
"Central","Minneapolis","270531261022"
"Northeast","Minneapolis","270530006033"
"Southwest","Minneapolis","270530120014"
"Southwest","Minneapolis","270530120013"
"University","Minneapolis","270531048011"
"University","Minneapolis","270531048012"
"University","Minneapolis","270531049011"
"Southwest","Minneapolis","270530120011"
"Camden","Minneapolis","270530003003"
"Powderhorn","Minneapolis","270531087001"
"University","Minneapolis","270531040012"
"Near North","Minneapolis","270531263003"
"University","Minneapolis","270531040023"
"University","Minneapolis","270531049023"
"University","Minneapolis","270531040024"
"Nokomis","Minneapolis","270530119982"
"Nokomis","Minneapolis","270530119984"
"University","Minneapolis","270531049021"
"Nokomis","Minneapolis","270530121023"
"Northeast","Minneapolis","270530006013"
"University","Minneapolis","270531048023"
"Calhoun Isle","Minneapolis","270531065004"
"Nokomis","Minneapolis","270530120035"
"University","Minneapolis","270531256003"
"Central","Minneapolis","270531262022"
"University","Minneapolis","270531040021"
"Central","Minneapolis","270531262012"
"University","Minneapolis","270531037004"
"University","Minneapolis","270530038011"
"University","Minneapolis","270530038012"
"Central","Minneapolis","270531261023"
"Central","Minneapolis","270531262023"
"Central","Minneapolis","270531261025"
"Central","Minneapolis","270531262024"
"Central","Minneapolis","270531261011"
"Southwest","Minneapolis","270530120015"
"Central","Minneapolis","270531261013"
"University","Minneapolis","270531036003"
"Central","Minneapolis","270531044003"
"Northeast","Minneapolis","270530006014"
"Calhoun Isle","Minneapolis","270531067001"
"Powderhorn","Minneapolis","270531070002"
"University","Minneapolis","270531049012"
"Central","Minneapolis","270530059013"
"University","Minneapolis","270531040022"
"University","Minneapolis","270531048021"
"Southwest","Minneapolis","270530120032"
"Powderhorn","Minneapolis","270530085003"
"St Anthony Park","St. Paul","271230301004"
"St Anthony Park","St. Paul","271230301005"
"Como Park","St. Paul","271230302011"
"Como Park","St. Paul","271230302021"
"Como Park","St. Paul","271230302013"
"St Anthony Park","St. Paul","271230301003"
"Como Park","St. Paul","271230302014"
"Como Park","St. Paul","271230303001"
"Como Park","St. Paul","271230303002"
"Como Park","St. Paul","271230303003"
"North End","St. Paul","271230304001"
"North End","St. Paul","271230304002"
"North End","St. Paul","271230304003"
"North End","St. Paul","271230305001"
"North End","St. Paul","271230305003"
"Payne-Phalen","St. Paul","271230306011"
"Northeast","Minneapolis","270531036001"
"University","Minneapolis","270531036002"
"University","Minneapolis","270531037001"
"University","Minneapolis","270531039001"
"Northeast","Minneapolis","270531025001"
"Northeast","Minneapolis","270531026001"
"Northeast","Minneapolis","270531026002"
"Near North","Minneapolis","270531028001"
"Near North","Minneapolis","270531028002"
"Northeast","Minneapolis","270531030001"
"Northeast","Minneapolis","270531031001"
"Near North","Minneapolis","270531034001"
"Near North","Minneapolis","270531034002"
"Near North","Minneapolis","270531034003"
"Near North","Minneapolis","270531041002"
"Central","Minneapolis","270531044001"
"Camden","Minneapolis","270531002002"
"Camden","Minneapolis","270531002001"
"Camden","Minneapolis","270531004003"
"Northeast","Minneapolis","270531005001"
"Northeast","Minneapolis","270531005002"
"Camden","Minneapolis","270531007002"
"Camden","Minneapolis","270531008004"
"Camden","Minneapolis","270531009001"
"Camden","Minneapolis","270531009002"
"Camden","Minneapolis","270531009003"
"Northeast","Minneapolis","270531012001"
"Northeast","Minneapolis","270531012004"
"Near North","Minneapolis","270531013001"
"Near North","Minneapolis","270531257001"
"Near North","Minneapolis","270531016001"
"Northeast","Minneapolis","270531018001"
"Northeast","Minneapolis","270531018002"
"Northeast","Minneapolis","270531019001"
"Northeast","Minneapolis","270531019002"
"Northeast","Minneapolis","270531019003"
"Near North","Minneapolis","270531021001"
"Near North","Minneapolis","270531021002"
"Near North","Minneapolis","270531021003"
"Southwest","Minneapolis","270531115005"
"Southwest","Minneapolis","270531115003"
"Nokomis","Minneapolis","270531116001"
"Nokomis","Minneapolis","270531116002"
"Nokomis","Minneapolis","270531116003"
"Nokomis","Minneapolis","270531116004"
"Southwest","Minneapolis","270531091003"
"Southwest","Minneapolis","270531091004"
"Southwest","Minneapolis","270531091005"
