bg2020gj,bg2020ge,tr2010gj,tr2010ge,wt_pop,wt_adult,wt_hh,wt_hu,parea
G17000700106011,170070106011,G5501050003300,55105003300,1.4559728e-5,1.2745038e-5,1.4842322e-5,1.3451741e-5,2.1700573e-5
G27016300702063,271630702063,G5501090120400,55109120400,0,0,0,0,0.038510523245
G55000109501001,550019501001,G5500010950100,55001950100,1,1,1,1,1
G55000109501002,550019501002,G5500010950100,55001950100,1,1,1,1,1
G55000109501003,550019501003,G5500010950100,55001950100,1,1,1,1,1
G55000109501004,550019501004,G5500010950100,55001950100,1,1,1,1,0.999649849979
G55000109501004,550019501004,G5500570100100,55057100100,0,0,0,0,2.76393952e-4
G55000109501004,550019501004,G5501410011600,55141011600,0,0,0,0,7.3756069e-5
G55000109502011,550019502011,G5500010950201,55001950201,1,1,1,1,0.999767326947
G55000109502011,550019502011,G5500010950202,55001950202,0,0,0,0,0
G55000109502011,550019502011,G5500570100300,55057100300,0,0,0,0,2.32673053e-4
G55000109502012,550019502012,G5500010950201,55001950201,1,1,1,1,0.998686430439
G55000109502012,550019502012,G5500010950400,55001950400,0,0,0,0,0.001313569561
G55000109502031,550019502031,G5500010950202,55001950202,1,1,1,1,1
G55000109502032,550019502032,G5500010950202,55001950202,1,1,1,1,1
G55000109502041,550019502041,G5500010950202,55001950202,1,1,1,1,1
G55000109502041,550019502041,G5500570100100,55057100100,0,0,0,0,0
G55000109502042,550019502042,G5500010950202,55001950202,1,1,1,1,1
G55000109502042,550019502042,G5500570100100,55057100100,0,0,0,0,0
G55000109504001,550019504001,G5500010950400,55001950400,1,1,1,1,1
G55000109504002,550019504002,G5500010950400,55001950400,1,1,1,1,1
G55000109504003,550019504003,G5500010950400,55001950400,1,1,1,1,1
G55000109504004,550019504004,G5500010950201,55001950201,0.006020469597,0.004335260116,0,0.002344665885,0.049620562349
G55000109504004,550019504004,G5500010950400,55001950400,0.993979530403,0.995664739884,1,0.997655334115,0.950379437651
G55000109505011,550019505011,G5500010950501,55001950501,1,1,1,1,1
G55000109505011,550019505011,G5500570100400,55057100400,0,0,0,0,0
G55000109505012,550019505012,G5500010950501,55001950501,0.999997064623,0.999997382738,0.999998000253,0.99999934948,0.999993424745
G55000109505012,550019505012,G5500570100300,55057100300,0,0,0,0,0
G55000109505012,550019505012,G5500010950400,55001950400,2.935377e-6,2.617262e-6,1.999747e-6,6.5052e-7,6.575255e-6
G55000109505021,550019505021,G5500010950502,55001950502,1,1,1,1,0.999955776552
G55000109505021,550019505021,G5500010950400,55001950400,0,0,0,0,4.4223448e-5
G55000109505022,550019505022,G5500010950400,55001950400,0,0,0,0,8.0209569e-5
G55000109505022,550019505022,G5500010950502,55001950502,1,1,1,1,0.999919790431
G55000109505023,550019505023,G5500010950502,55001950502,1,1,1,1,1
G55000109505024,550019505024,G5500010950502,55001950502,0.9973794612,0.99774912107,0.997624552454,0.995938923979,0.998300482679
G55000109505024,550019505024,G5500010950501,55001950501,9.07555847e-4,4.54647858e-4,1.8451094e-5,1.61633362e-4,3.7135078e-4
G55000109505024,550019505024,G5500570100400,55057100400,0,0,0,0,7.03962551e-4
G55000109505024,550019505024,G5500010950700,55001950700,0.001712982953,0.001796231072,0.002356996451,0.003899442658,6.24203991e-4
G55000109507001,550019507001,G5500010950700,55001950700,1,1,1,1,1
G55000109507002,550019507002,G5500010950700,55001950700,1,1,1,1,1
G55000109507003,550019507003,G5500010950700,55001950700,1,1,1,1,0.999902414874
G55000109507003,550019507003,G5500570100700,55057100700,0,0,0,0,9.7585126e-5
G55000309400001,550039400001,G5500030940000,55003940000,0.982090997096,0.983664772727,0.984743411928,0.986762936221,0.989990019118
G55000309400001,550039400001,G5500030950500,55003950500,0.017909002904,0.016335227273,0.015256588072,0.013237063779,0.010009980882
G55000309503001,550039503001,G5500030950800,55003950800,0,0,0,0,0
G55000309503001,550039503001,G5500030950300,55003950300,1,1,1,1,1
G55000309503002,550039503002,G5500030950300,55003950300,1,1,1,1,1
G55000309504001,550039504001,G5500030950400,55003950400,1,1,1,1,0.999772010297
G55000309504001,550039504001,G5500030950800,55003950800,0,0,0,0,2.27989703e-4
G55000309504002,550039504002,G5500030950400,55003950400,1,1,1,1,1
G55000309504003,550039504003,G5500030950400,55003950400,1,1,1,1,0.999070159265
G55000309504003,550039504003,G5500030950800,55003950800,0,0,0,0,9.29840735e-4
G55000309505001,550039505001,G5500030950500,55003950500,1,1,1,1,1
G55000309505002,550039505002,G5500030950500,55003950500,1,1,1,1,1
G55000309506001,550039506001,G5500030950600,55003950600,1,1,1,1,1
G55000309506002,550039506002,G5500030950600,55003950600,1,1,1,1,1
G55000309507001,550039507001,G5500030950700,55003950700,1,1,1,1,1
G55000309507002,550039507002,G5500030950700,55003950700,1,1,1,1,1
G55000309507003,550039507003,G5500030950700,55003950700,1,1,1,1,1
G55000309508001,550039508001,G5500030950800,55003950800,1,1,1,1,0.999989908487
G55000309508001,550039508001,G5500030940000,55003940000,0,0,0,0,0
G55000309508001,550039508001,G5500030950400,55003950400,0,0,0,0,0
G55000309508001,550039508001,G5500030950300,55003950300,0,0,0,0,1.0091513e-5
G55000309508002,550039508002,G5500030950300,55003950300,0,0,0,0,0.031152521564
G55000309508002,550039508002,G5500030950800,55003950800,1,1,1,1,0.968847478436
G55000309508003,550039508003,G5500030950800,55003950800,1,1,1,1,1
G55000309508004,550039508004,G5500030950800,55003950800,1,1,1,1,1
