Original Sort Order,Level 0,Level 1,Level 2,Check,Level 3a,Level 4,Count,Domain,COMMENTS,Decision
19,,Ash,Ash,,Ash,,148,Arboretum_Illinois,,
93,,Black ash,Black ash,,Ash,,7,Arboretum_Illinois,,
585,,Swamp ash,Swamp ash,,Ash,,3,Arboretum_Illinois,"STJ:  what's the l for?  CVC is swamp ash. JP the ""I"" was left over from ND's original classification system.Changed Level 2 from Swamp Ash-I to Swamp ash 1-31-14",
683,,White ash,White ash,,Ash,,29,Arboretum_Illinois,,
67,,Basswood,Basswood,,Basswood,,51,Arboretum_Illinois,,
375,,Lynn,Lynn,,Basswood,,47,Arboretum_Illinois,CVC level 2 would be lynn,
82,,Birch,Birch,,Birch,,4,Arboretum_Illinois,,
143,,Buckeye,Buckeye,,Buckeye,,1,Arboretum_Illinois,,
177,,Cedar,Cedar,,Cedar/juniper,,1,Arboretum_Illinois,,
95,,Black cherry,Black cherry,YES - Done,Cherry,,1,Arboretum_Illinois,CVC closest is black cherry since pin cherry also available,
185,,Cherry,Cherry,,Cherry,,14,Arboretum_Illinois,,
236,,Elm,Elm,,Elm,,132,Arboretum_Illinois,,
497,,Red elm,Red elm,,Elm,,1,Arboretum_Illinois,,
686,,White elm,White elm,,Elm,,2,Arboretum_Illinois,,
271,,Hackberry,Hackberry,,Hackberry,,12,Arboretum_Illinois,,
303,,Hickory,Hickory,,Hickory,,355,Arboretum_Illinois,,
344,,Ironwood,Ironwood,,Ironwood,,38,Arboretum_Illinois,,
127,,Box elder,Box elder,,Maple,,1,Arboretum_Illinois,,
385,,Maple,Maple,,Maple,,43,Arboretum_Illinois,,
577,,Sugar maple,Sugar maple,,Maple,,5,Arboretum_Illinois,,
580,,Sugar tree,Sugar tree   ,,Maple,,3,Arboretum_Illinois,CVC level 2 would be sugar or sugar tree,
582,,Sugartree,Sugar tree   ,,Maple,,89,Arboretum_Illinois,CVC level 2 would be sugar or sugar tree,
,,,No tree,,No tree,,,Arboretum_Illinois,,
102,,Black oak,Black oak,,Oak,,1197,Arboretum_Illinois,,
151,,Bur oak,Bur oak,,Oak,,4082,Arboretum_Illinois,,
44,,B oak,Burr/black oak,,Oak,,378,Arboretum_Illinois,,
