,Recommended trees for Southeast Minnesota (Deciduous),,,,,,,,,,
Type,Species,Height (feet),Width (feet),Shape,Fall Color,Street use?,Under utility lines?,Shade Tolerance,Notable Flower,Notable Fruit,Other Notes
Deciduous,"Alder, European black [Alnus glutinosa]",15+,15+,Pyramidal,Green,Yes,No,Partial,No,Yes,
Deciduous,"Apricot, Manchurian [Prunus armeniaca var. Mandshurica]",15+,15+,Round,Yellow/Orange,Yes,Yes,No,Yes,Yes,"Cultivars: ‘Sungold’, ‘Moongold’, ‘Manchu’. May need winter protection from rabbits."
Deciduous,"Birch, paper [Betula papyrifera]",40+,20+,Oval,Yellow,Yes,No,No,No,No,"Native to all of Southeast Minnesota. Performs best where root system is cool and shaded, and free from grass competition. Attractive, exfoliating white bark."
Deciduous,"Birch, river [Betula nigra]",40+,30+,Oval,Yellow,Sometimes,No,Partial,No,No,"Native to the Blufflands and Twin Cities Highlands. Use single stemmed for street use. Bark is attractive, exfoliating, copper colored. Common birch is recommended. Cultivars: ‘Heritage’."
Deciduous,"Buckeye, Ohio [Aesculus glabra]",20+,20+,Oval,Yellow/Orange,Sometimes,Sometimes,Partial,Yes,Yes,Suitable for planting under some utility lines (primaries); deicing salt tolerant. Cultivar: ‘Autumn Splendor’.
Deciduous,Burning Bush [Euonymus alata],10+,10+,Round,Red,No,Yes,Partial,No,Yes,Salt tolerant. Red fall color develops best in full sun. Interesting corky bark. May need winter protection from rabbits.
Deciduous,"Catalpa, northern [Catalpa speciosa]",40+,20+,Oval,Yellow/Brown,Sometimes,No,Partial,Yes,Yes,"Intermediate salt tolerance. Due to messy fruit, a better tree for parks than most streets."
Deciduous,"Cherry, sour [Prunus cerasus]",10+,10+,Round,Yellow,Yes,Yes,No,Yes,Yes,"Cultivars: ‘North Star’, ‘Meteor’. Fruit may cause problems if near pavement. All cherries may need winter protection from rabbits."
Deciduous,"Cherry, Amur choke [Prunus maackii]",20+,18+,Oval,Maroon,Sometimes,Yes,No,Yes,Yes,"Has potential as a street tree where budgets allow for early and frequent formative pruning. Probably better as a park tree. A very attractive, red-copper, peeling bark. All cherries may need winter protection from rabbits."
Deciduous,"Cherry, black [Prunus serotina]",40+,20+,Oval,Yellow/Red,Yes,No,Partial,Yes,Yes,Native to all of Southeast Minnesota. All cherries may need winter protection from rabbits.
Deciduous,"Coffeetree, Kentucky [Gymnocladus dioicus]",50+,30+,Oval,Yellow,Yes,No,No,No,Yes,"Native to all of Southeast Minnesota. Female trees produce pods, but male trees do not. Late to leaf out in spring."
Deciduous,"Coffeetree, 'Espresso' [Gymnocladus dioicus 'Espresso']",50+,35+,Vase,Yellow,Yes,No,No,No,No,
Deciduous,"Coffeetree, 'Stately Manor' [Gymnocladus dioicus 'Stately Manor']",50+,30+,Oval,Yellow,Yes,No,No,No,No,
