CTU Name,Average tree cover (%),Lowest block group tree cover (%),Highest block group tree cover (%)
Afton,35.75,19.9,59.8
Andover,43.33,28.6,50.6
Anoka,31.22,17.4,51.4
Apple Valley,37.07,11.5,53.5
Arden Hills,38.26,34,53
Bayport,33.64,17.6,35.5
Baytown Twp.,29.26,27.9,35.5
Belle Plaine,22.03,12.4,25.4
Belle Plaine Twp.,7.73,12.4,25.4
Benton Twp.,9.46,7.2,10.5
Bethel,47.37,39.7,39.7
Birchwood Village,62.5,60.6,60.6
Blaine,36.69,15.2,52.2
Blakeley Twp.,23.28,NA,NA
Bloomington,38.68,7.9,60.9
Brooklyn Center,25.93,10.1,37.3
Brooklyn Park,28.44,14.1,47.9
Burnsville,39.84,14.2,59.2
Camden Twp.,13.49,9.9,13.7
Carver,40.35,15.3,35.6
Castle Rock Twp.,8.11,8.1,14.2
Cedar Lake Twp.,19.51,17,19.2
Centerville,36.8,30.3,43.7
Champlin,40.46,31.3,45.8
Chanhassen,40.93,25.4,54.7
Chaska,34.63,23.4,49
Circle Pines,48.55,39.5,53.7
Coates,2.97,13.2,13.2
Cologne,10.11,10.5,10.5
Columbia Heights,29.07,14.8,46.2
Columbus,41.32,37.8,46
Coon Rapids,39.59,18.6,54.7
Corcoran,17.19,14.8,21.1
Cottage Grove,25.72,16.5,49.4
Credit River,31.91,28,32.7
Crystal,31.55,10,46
Dahlgren Twp.,15.15,15.3,35.6
Dayton,29.21,25,31.7
Deephaven,56.74,55.1,58.7
Dellwood,50.5,51.5,57.5
Denmark Twp.,20.03,19.9,35.3
Douglas Twp.,8.2,8,8
Eagan,40.37,18.6,58
East Bethel,42.86,40.4,47.9
Eden Prairie,40.88,18.4,57
Edina,41.21,5.4,55.3
Elko New Market,28.98,22.2,22.2
Empire Twp.,11.07,8.1,29.7
Eureka Twp.,13.58,8.1,15.5
Excelsior,35.71,37.3,48.3
Falcon Heights,28.18,15.3,40.6
Farmington,20.63,11.5,36.6
Forest Lake,36.92,26.2,49
Fort Snelling (unorg.),19.66,13.5,30.1
Fridley,28.7,11.6,51.7
Gem Lake,49.49,39.1,46.1
Golden Valley,39.81,23.1,54.4
Grant,36.51,28.5,51.5
Greenfield,23.97,19.4,30.4
Greenvale Twp.,10.11,9.2,9.2
Greenwood,54.57,48.3,48.3
Grey Cloud Island Twp.,47,30.8,30.8
Ham Lake,45.12,37.5,52.7
Hamburg,13.14,8.7,8.7
Hampton,11.93,7.7,7.7
Hampton Twp.,6.23,7.7,7.7
Hancock Twp.,4.66,7.2,7.2
Hanover,33.91,25.9,25.9
Hastings,38.46,12.3,44.2
Helena Twp.,13.37,13.5,24.7
Hilltop,14.65,15,15
Hollywood Twp.,9.66,9.9,13.7
Hopkins,30.86,8.8,52.3
Hugo,29.61,27.3,35.9
Independence,25.42,20.7,28.8
Inver Grove Heights,42.23,21.4,53.7
Jackson Twp.,23.9,17.9,34.2
Jordan,30.71,23.5,32.2
Lake Elmo,29.63,25.6,41
Lake St. Croix Beach,52.94,48.2,59.8
