CTU Name,Average tree cover (%),Lowest block group tree cover (%),Highest block group tree cover (%)
Afton,0.35754035185004845,0.19899999999999998,0.369
Andover,0.43331966074859063,0.28600000000000003,0.506
Anoka,0.31221160810395954,0.174,0.514
Apple Valley,0.3707330255943556,0.115,0.535
Arden Hills,0.382574591118135,0.34,0.53
Bayport,0.33639519804876444,0.17600000000000002,0.355
Baytown Twp.,0.29261167743828387,0.27899999999999997,0.354
Belle Plaine,0.22032935959035035,0.124,0.254
Belle Plaine Twp.,0.07729233173398553,0.124,0.254
Benton Twp.,0.09464216205090727,0.07200000000000001,0.105
Bethel,0.47369241862811334,0.397,0.397
Birchwood Village,0.625005333341644,0.606,0.606
Blaine,0.366888575328818,0.152,0.522
Blakeley Twp.,0.23283220913249889,0.171,0.171
Bloomington,0.3868478908293917,0.079,0.609
Brooklyn Center,0.25931481134671136,0.10099999999999999,0.373
Brooklyn Park,0.28435109451397,0.141,0.479
Burnsville,0.39840015614658336,0.142,0.5920000000000001
Camden Twp.,0.13494464991434685,0.099,0.13699999999999998
Carver,0.4034779038745208,0.153,0.35600000000000004
Castle Rock Twp.,0.08107142953948354,0.081,0.142
Cedar Lake Twp.,0.19511333981131582,0.17,0.192
Centerville,0.36797954114124654,0.303,0.43700000000000006
Champlin,0.4046136435433017,0.313,0.45799999999999996
Chanhassen,0.40930466646922303,0.254,0.547
Chaska,0.3462725751584392,0.23399999999999999,0.49
Circle Pines,0.4855147347520647,0.395,0.537
Coates,0.029669260359118748,0.132,0.132
Cologne,0.10105191350467799,0.105,0.105
Columbia Heights,0.29069300614746696,0.14800000000000002,0.462
Columbus,0.41324403310656105,0.37799999999999995,0.46
Coon Rapids,0.3958667429372552,0.18600000000000003,0.547
Corcoran,0.17188267940530155,0.14800000000000002,0.21100000000000002
Cottage Grove,0.2571582949272556,0.165,0.494
Credit River,0.3191034583908886,0.28,0.327
Crystal,0.3155371886693584,0.1,0.46
Dahlgren Twp.,0.15153238061553492,0.153,0.35600000000000004
Dayton,0.29208683687472864,0.25,0.317
Deephaven,0.5674354509248025,0.551,0.5870000000000001
Dellwood,0.5049519870886353,0.515,0.575
Denmark Twp.,0.20028511959975714,0.19899999999999998,0.353
Douglas Twp.,0.08195602577515038,0.08,0.08
Eagan,0.40372392153682457,0.18600000000000003,0.58
East Bethel,0.42864688195749584,0.40399999999999997,0.479
Eden Prairie,0.4087981337602555,0.184,0.57
Edina,0.41210654283446485,0.054000000000000006,0.5529999999999999
Elko New Market,0.28979015096523447,0.222,0.222
Empire Twp.,0.1106691601849056,0.081,0.297
Eureka Twp.,0.13577872821549275,0.081,0.155
Excelsior,0.35713660014641396,0.373,0.483
Falcon Heights,0.28182463185175705,0.153,0.406
Farmington,0.20632402736568675,0.115,0.366
Forest Lake,0.36915257410019797,0.262,0.49
Fort Snelling (unorg.),0.1965510956388148,0.135,0.301
Fridley,0.28703030775573335,0.11599999999999999,0.517
Gem Lake,0.49487080273018047,0.391,0.461
Golden Valley,0.39812265244895817,0.231,0.544
Grant,0.36509627085793184,0.285,0.515
Greenfield,0.2396898930869231,0.19399999999999998,0.304
Greenvale Twp.,0.10111174493219177,0.092,0.092
Greenwood,0.5456747239098185,0.483,0.483
Grey Cloud Island Twp.,0.469994538232367,0.308,0.308
Ham Lake,0.45122791979529225,0.375,0.527
Hamburg,0.13141124009934607,0.087,0.087
Hampton,0.1193309259485767,0.077,0.077
Hampton Twp.,0.06225730197326139,0.077,0.077
Hancock Twp.,0.04659937922423753,0.07200000000000001,0.07200000000000001
Hanover,0.3390652092645479,0.259,0.259
Hastings,0.38462427985184283,0.12300000000000001,0.442
Helena Twp.,0.13372757429061874,0.135,0.247
Hilltop,0.14654459819462745,0.15,0.15
Hollywood Twp.,0.09663935951428038,0.099,0.13699999999999998
Hopkins,0.3085940142211866,0.08800000000000001,0.523
Hugo,0.2961278249356298,0.273,0.359
Independence,0.2542003264697747,0.207,0.28800000000000003
Inver Grove Heights,0.4223212360218674,0.214,0.537
Jackson Twp.,0.23899806231522824,0.179,0.342
Jordan,0.3070677095965202,0.235,0.322
Lake Elmo,0.29630554674660803,0.256,0.41
Lake St. Croix Beach,0.5294129933341587,0.48200000000000004,0.598
Lakeland,0.4464370558364384,0.428,0.488
Lakeland Shores,0.5253490447798179,0.428,0.428
Laketown Twp.,0.23256443037478144,0.201,0.47100000000000003
Lakeville,0.29936072813565606,0.081,0.511
Landfall,0.17228887153911812,0.401,0.401
Lauderdale,0.3145817827790148,0.204,0.426
Lexington,0.37659651160386265,0.315,0.33899999999999997
Lilydale,0.5121485043382009,0.502,0.56
Lino Lakes,0.3794386150541496,0.263,0.529
Linwood Twp.,0.48357641230253023,0.473,0.505
Little Canada,0.3601006609360799,0.218,0.46
Long Lake,0.3679688956307857,0.26899999999999996,0.433
Loretto,0.1926113122465054,0.28300000000000003,0.28300000000000003
Louisville Twp.,0.3195139793359538,0.179,0.342
Mahtomedi,0.5002289069760675,0.469,0.5870000000000001
Maple Grove,0.33589269275910505,0.11699999999999999,0.528
Maple Plain,0.2642591576848232,0.207,0.271
Maplewood,0.4061946425420178,0.261,0.505
Marine on St. Croix,0.5070218039601068,0.503,0.503
Marshan Twp.,0.08148084806018055,0.08199999999999999,0.14
May Twp.,0.3570546841465912,0.28600000000000003,0.455
Mayer,0.17268028868135157,0.12300000000000001,0.175
Medicine Lake,0.44416985163485734,0.444,0.444
Medina,0.3410507491784435,0.28300000000000003,0.386
Mendota,0.5599371782035586,0.502,0.502
Mendota Heights,0.46140305694873074,0.39799999999999996,0.589
Miesville,0.035413523659254216,0.08,0.08
Minneapolis,0.2441368177497059,0,0.525
Minnetonka,0.47456926501282803,0.18899999999999997,0.575
Minnetonka Beach,0.47621738809834635,0.466,0.531
Minnetrista,0.28824599302291853,0.19399999999999998,0.449
Mound,0.35364950818854957,0.20800000000000002,0.466
Mounds View,0.409548201922632,0.276,0.547
New Brighton,0.34560845997014833,0.162,0.466
New Germany,0.14231655502277302,0.099,0.13699999999999998
New Hope,0.3130672007095905,0.155,0.456
New Market Twp.,0.20570881687238743,0.17,0.251
New Prague,0.21978066436791338,0.135,0.247
New Trier,0.11221900454915593,0.077,0.077
Newport,0.42610303902329066,0.41100000000000003,0.469
Nininger Twp.,0.18401818484059937,0.132,0.301
North Oaks,0.5672256988738634,0.5329999999999999,0.6409999999999999
North St. Paul,0.37030371868837136,0.253,0.455
Northfield,0.15179848919029496,0.092,0.092
Norwood Young America,0.17364539187926267,0.087,0.185
Nowthen,0.30443890767261544,0.24100000000000002,0.34700000000000003
Oak Grove,0.4339014168346385,0.396,0.483
Oak Park Heights,0.30333566459591693,0.23,0.389
Oakdale,0.3822842320705617,0.243,0.531
Orono,0.455098815346728,0.4,0.545
Osseo,0.16821360446833075,0.147,0.215
Pine Springs,0.4893475709947686,0.47600000000000003,0.47600000000000003
Plymouth,0.37159218272775374,0.15,0.546
Prior Lake,0.35354112104012625,0.23399999999999999,0.493
Ramsey,0.39468783382485984,0.235,0.501
Randolph,0.25868119507213183,0.077,0.077
Randolph Twp.,0.10304558126014238,0.077,0.077
Ravenna Twp.,0.3822234517620489,0.384,0.384
Richfield,0.29827767011394185,0.086,0.49200000000000005
Robbinsdale,0.2951268140054764,0.122,0.467
Rockford,0.28194793455756184,0.304,0.304
Rogers,0.21496255296129552,0.187,0.259
Rosemount,0.2186348502695476,0.193,0.42100000000000004
Roseville,0.3480874953916725,0.155,0.48200000000000004
San Francisco Twp.,0.2616712135829147,0.153,0.35600000000000004
Sand Creek Twp.,0.2079300773552322,0.235,0.235
Savage,0.4032215365408175,0.287,0.552
Scandia,0.3549711879920967,0.24600000000000002,0.425
Sciota Twp.,0.05329288024389907,0.092,0.092
Shakopee,0.2605325833061257,0.179,0.40299999999999997
Shoreview,0.4483954926068049,0.28800000000000003,0.536
Shorewood,0.5094299582575182,0.373,0.58
South St. Paul,0.30025442782458,0.13699999999999998,0.527
Spring Lake Park,0.2574671369577001,0.222,0.491
Spring Lake Twp.,0.21817932789377534,0.157,0.281
Spring Park,0.2668477443058773,0.21,0.466
St. Anthony,0.3419160668207844,0.243,0.43200000000000005
St. Bonifacius,0.22952550736617164,0.19399999999999998,0.267
St. Francis,0.42018072559278813,0.36,0.455
St. Lawrence Twp.,0.3304043081946965,0.191,0.191
St. Louis Park,0.3291372362369344,0.12,0.5660000000000001
St. Marys Point,0.6131094441474177,0.598,0.598
St. Paul,0.31453650839955716,0.013999999999999999,0.574
St. Paul Park,0.34353672248552714,0.308,0.41600000000000004
Stillwater,0.4175931626754968,0.285,0.534
Stillwater Twp.,0.32805659856317965,0.317,0.534
Sunfish Lake,0.5736798418619847,0.606,0.606
Tonka Bay,0.4545247831959768,0.445,0.45399999999999996
Vadnais Heights,0.4070513828518309,0.21899999999999997,0.502
Vermillion,0.1557781920141298,0.081,0.081
Vermillion Twp.,0.05287416812159241,0.081,0.132
Victoria,0.34448605406791644,0.201,0.47100000000000003
Waconia,0.17411282793947153,0.12300000000000001,0.23800000000000002
Waconia Twp.,0.13549621251215996,0.12300000000000001,0.23600000000000002
Waterford Twp.,0.10505475681252885,0.092,0.092
Watertown,0.2663709625205694,0.175,0.309
Watertown Twp.,0.18793212284827931,0.175,0.245
Wayzata,0.44946500016921226,0.293,0.501
